Address,City,Postal Code,Fine Amount
42-22 Union Street,Queens,11355,30477.562999999995
147-37 Beech Avenue,Queens,11355,20275.875
8 Navy Pier Court,Staten Island,10304,18039.75
357 Edgecombe Avenue,Manhattan,10031,3272.8829999999953
565 West 139th Street,New York,10031,2705.3259999999955
112 Bruckner Boulevard,Bronx,10454,111153
48-05 Metropolitan Avenue,Queens,11385,143191.39500000002
979 Brook Avenue,Bronx,10451,147453.59999999998
4077 Park Avenue,Bronx,10457,67080.40000000001
2510 Westchester Avenue,Bronx,10461,16252.792999999996
345 West 35th Street,New York,10001,47371.00999999998
2833-2835 Decatur Avenue,Bronx,10458,29990.673999999995
48 St Nicholas Place,New York,10031,56423.91600000001
554-556 West 181st Street,New York,10033,46260.48499999999
29 West 35th Street,New York,10001,43825.37000000001
71-26 Main Street,Queens,11367,7906
57 Front Street,Brooklyn,11201,42739.099
351 West 125th Street AKA 301 St Nicholas Ave,New York,10027,8751.205000000009
415 West 120th Street,New York,10027,45042.023
711 West End Avenue,New York,10025,186715.6
2420 Morris Avenue,Bronx,10468,29136.289999999994
3000 Valentine Avenue,Bronx,10458,15798.599999999997
203 West 107th Street,New York,10025,18885.826000000005
220 West 107th Street,New York,10025,77729.37999999999
230 West 107th Street,New York,10025,4363.843999999989
21-25 Convent Avenue,New York,10027,16077.655000000002
430 New Dorp Lane,Staten Island,10306,60258.39300000001
140 Sullivan Street,New York,10012,24481.933999999997
207 East 202nd Street,Bronx,10458,22694.91
105 Lincoln Road,Brooklyn,11225,10369.12100000001
270 West 38th Street,New York,10018,465511.57800000004
220 West 98th Street,New York,10025,45164.03000000001
550 7th Avenue,New York,10018,248093.429
475 10th Avenue,New York,10018,137611.97
245 East 196th Street,Bronx,10458,19565.34
244 East 196th Street,Bronx,10458,8698.610000000002
44-14 Newtown Road,Queens,11103,24543.03799999999
875 Longfellow Avenue,Bronx,10474,6210.900000000003
10 Sullivan Street,New York,10012,34608.113
83-43 - 83-57 118th Street,Queens,11415,22502.217999999957
481 Washington Street,New York,10013,42556.256
1210 Sherman Avenue,Bronx,10456,36661.06
1265 Gerard Avenue,Bronx,10452,36618.716
176 East 176th Street,Bronx,10457,40200
1901 Grand Concourse,Bronx,10453,33982.4
1916 Grand Concourse,Bronx,10457,40039.200000000004
2103-2121 Grand Concourse,Bronx,10453,34771.66
2550-2552 University Avenue,Bronx,10468,17743.275
2735 Marion Avenue,Bronx,10458,20897.299999999992
2773 Briggs Avenue,Bronx,10458,6366.004999999999
2781 Grand Concourse,Bronx,10468,32907.854
2805 University Avenue,Bronx,10468,20461.8
2952 Marion Avenue,Bronx,10458,35335.8
3425 Gates Place,Bronx,10467,34592.1
667 East 232nd Street,Bronx,10466,24925.206000000002
4254 Carpenter Avenue,Bronx,10466,9483.045999999993
120 West 60th Street,New York,10023,69724.68900000001
36-40 37th Street,Queens,11101,35449.700000000004
194 Riverside Drive,New York,10025,52124.325
419-421 Broome Street,New York,10013,21327.574
320 West 89th Street,New York,10024,8523.740000000002
1136 Sherman Avenue,Bronx,10456,14606
1057 Hoe Avenue,Bronx,10459,23315.196000000004
190 West 170th Street,Bronx,10452,31131.014000000003
2979 Marion Avenue,Bronx,10458,31693.813999999995
3500 Tryon Avenue,Bronx,10467,22512
108-110 Duane Street,New York,10007,42151.308000000005
169 Spring Street,New York,10012,14908.839999999998
25 West 51st Street,New York,10019,10330.260999999999
169 Columbia Heights,Brooklyn,11201,47040.7
157 East 57th Street,New York,10022,105909.31199999999
160 West 73rd Street,New York,10023,35821.61700000002
47-11 Van Dam Street,Queens,11101,97019.48400000001
235 West 22nd Street,New York,10011,63193.194
45 West 34th Street,New York,10001,871.9380000000083
1161-1163 Stratford Avenue,Bronx,10472,51280.125
1113-1115 Walton Avenue,Bronx,10452,49623.55
1083-1085 Walton Avenue,Bronx,10452,30190.199999999993
304-306 East 178th Street,Bronx,10457,32307.4
140 West 55th Street,New York,10019,10464.863999999992
156 East 37th Street,New York,10016,5794.227
166-02 Jamaica Avenue,Queens,11432,56119.200000000004
163-02 Jamaica Avenue,Queens,11432,33902
702 Brighton Beach Avenue,Brooklyn,11235,24413.192
1015-1017 Leggett Avenue,Bronx,10455,12789.629999999992
2430 Morris Avenue,Bronx,10468,7685.101000000006
2395 Morris Avenue,Bronx,10468,17467.167999999998
4396 Furman Avenue,Bronx,10466,17205.6
742-744 Saint Nicholas Avenue,Manhattan,10031,13930.371999999996
41-45 West 34th Street,New York,10001,20590.038000000022
130 Post Avenue,New York,10034,37977.14099999999
600 West 150th Street,New York,10031,69745.258
601 West 156th Street,New York,10032,37980.491
550 West 157th Street,New York,10032,99166.49900000001
130 Fort Washington Avenue,New York,10032,12252.42399999999
660 West 180th Street,New York,10033,22088.627000000004
189-199 Sherman Avenue,New York,10034,9951.107999999993
201-211 Sherman Avenue,New York,10034,7767.979999999989
1030 Nelson Avenue,Bronx,10452,97686
63 Roebling Street,Brooklyn,11211,41512.195
4149 Kings Hgwy,Brooklyn,11234,73030
2785 University Avenue,Bronx,10468,38035.89999999999
710 East 37th Street,Brooklyn,11203,77470.76
360 West 55th Street,New York,10019,83348
1380150 East 18th Street,New York,10003,163890.57599999997
365 Westminster Road,Brooklyn,11218,8498.548000000003
15 Jackson Street,Brooklyn,11211,40205.628
601 West 141st Street,New York,10031,9313.468999999988
603 West 191st Street,Manhattan,10040,7073.458000000004
565 West 144th Street,Manhattan,10031,77560.875
601 West 188th Street,Manhattan,10040,2987.530000000002
1386 Nelson Avenue,Bronx,10452,26525.3
106 Gerry Street,Brooklyn,11206,12386.155999999995
601 West 151st Street,New York,10031,19330.84
5811 Foster Avenue,Brooklyn,11234,31007.600000000002
231 Echo Place,Bronx,10457,9562.910000000002
4396 Broadway,New York,10040,58618.299999999996
473-475 Amsterdam Avenue,New York,10024,112037.40000000001
148-150 East 50th Street,New York,10022,122660.58499999999
565 West 162nd Street,New York,10032,4839.811999999992
2079 Frederick Douglass Boulevard,New York,10026,23384.674999999992
1660 Andrews Avenue,Bronx,10453,43446.48499999999
1705 Andrews Avenue South,Bronx,10454,21855.4
2158 Atlantic Avenue,Brooklyn,11233,9053.978000000001
83 West 115th Street,New York,10026,6243.059999999997
1920 Union Street,Brooklyn,11233,85070.97200000001
717 East 9th Street,New York,10009,24230.684
1939 Park Place,Brooklyn,11212,35528.759999999995
126 West 83rd Street,New York,10024,9539.795
786 East 182nd Street,Bronx,10460,1142.349999999997
1035 Woodycrest Avenue,Bronx,10452,85301.05
16 East 39th Street,New York City,10016,99744.10599999999
288 Bay 38th Street,Brooklyn,11214,117606.775
2575 Sedgwick Ave,Bronx,10468,31409.6
275 East 201st Street,BRONX,10458,48446.35999999999
33-35 East 208th Street,Bronx,10467,27766.609000000008
222 Bedford Park Blvd,Bronx,10458,108362.45
2100-2110 Bronx Park East,Bronx,10462,25669.70999999995
250 Bedford Park Blvd,Bronx,10458,23742.321000000004
2160 Bolton Street,BRONX,10462,28267.433999999987
2180 Bolton Street,BRONX,10462,52882.296
2780 University Ave,Bronx,10468,27071.416999999994
2160 Holland Avenue,Bronx,10462,54537.73199999999
2165 Bolton Street,Bronx,10462,40964.47000000001
3339 Hull Avenue,Bronx,10467,31516.8
80 Fort Washington Ave,New York,10032,31397.942
86 Fort Washington Ave,New York,10032,44945.61000000001
1000 Freeman Street,Bronx,10459,92140.343
3472 Knox Place,Bronx,10467,26508.684
940 Saint Nicholas Ave,New York,10032,22283.53000000001
570 West 204th Street,New York,10034,48616.00400000001
3830 Bronx Blvd,Bronx,10467,15208.196000000004
4138-4140 Carpenter Ave,Bronx,10466,22324.265999999992
505 St. Marks Avenue,Brooklyn,11238,60632.78899999999
250 East 31st Street,Manhattan,10016,65319.037
235 East 84th Street,Manhattan,10028,2054.4210000000007
596 Edgecombe Avenue,New York,10032,23442.965
634 East 233rd Street,Bronx,10466,10749.815000000004
210 East 201st Street,Bronx,10458,27664.300000000003
2966 Briggs Avenue,Bronx,10458,17454.504999999997
3001 Valentine Avenue,Bronx,10458,15280.555999999999
3013 Valentine Avenue,Bronx,10458,18567.843999999997
476-480 Austin Place,Bronx,10455,61927.42999999999
155 Riverside Drive,New York,10024,71293.561
205 West 88th Street,New York,10024,61811.921999999984
210-02 43rd Avenue,Queens,11361,22435.084000000006
211-01 42nd Avenue,Queens,11361,23225.952000000005
275 Central Park West,New York,10024,183945.61900000004
280 Riverside Drive,New York,10025,198487.969
305 Riverside Drive,New York,10025,121269.66500000001
42-11 Corporal Kennedy Street,Queens,11361,170375.30499999996
425 Riverside Drive,New York,10025,259161.36
521 West 122nd Street,New York,10027,36706.55299999999
55 West 92nd Street,New York,10025,50293.215
550 Riverside Drive,New York,10027,39015.439999999995
618 Amsterdam Avenue,New York,10024,58343.19799999999
825 West 187th Street,New York,10033,112052.676
3881 Sedgwick Ave,Bronx,10463,34848.04000000001
655 East 230th Street,Bronx,10466,74575.01999999999
3225 Parkside Place,Bronx,10467,28756.4
86-50 77th Street,Queens,11421,21775
2590 Park Avenue,Bronx,10451,56822.96799999999
293 Hawthorne Street,Brooklyn,11225,36593.993
59-05 52nd Avenue,Queens,11377,522.599999999997
27-05 41st Avenue,Queens,11101,34800.068
515-521 West 122nd Street,New York,10027,23511.505999999994
2 Ocean Drive,Brooklyn,11224,530904.7170000001
1-11 De Sales Place,Brooklyn,11207,78445.54299999999
63 Central Avenue AKA 68 Garden Street,Brooklyn,11206,32640.323000000008
185 East 85th Street,New York,10028,206597.78299999994
2800 Sedgwick Ave,Bronx,10468,48621.9
3021 Holland Avenue,Bronx,10467,2685.359999999995
29-45 Sickles Street,New York,10040,20704.675000000007
45-40 Vernon Boulevard,Queens,11101,125360.34999999999
25-11 Union Street,Queens,11354,88309.21599999999
2170-2172 Ryer Avenue,Bronx,10457,21564.352
111 West 57th Street,New York,10019,444849.78299999994
114 East 168th Street,Bronx,10452,26612.4
2150 Creston Avenue,Bronx,10453,9367.872999999998
95 Thayer Street,Manhattan,10040,6825.625
1340 Morris Avenue,Bronx,10456,15624.400000000003
1355 Morris Avenue,Bronx,10456,5486.964999999998
2030 Walton Avenue,Bronx,10453,8049.714999999998
2287 Loring Place,Bronx,10468,17176.120000000003
2489 Morris Avenue,Bronx,10468,6968
1225 Sherman Avenue,Bronx,10456,8052.729999999996
2499 Grand Avenue,Bronx,10468,28896.094999999998
2718 Morris Avenue,Bronx,10468,11368.224999999997
3511 Hull Avenue,Bronx,10467,18542.25
1562 Thieriot Avenue,Bronx,10460,25671.050000000007
1580 Thieriot Avenue,Bronx,10460,36156.549999999996
2511 Frisby Avenue,Bronx,10461,9893.219999999998
3115 Sedgwick Avenue,Bronx,10463,22572.3
2065 Haviland Ave,Bronx,10472,23023.88000000001
2075 Grand Concourse,Bronx,10453,1147.375
4360 Furman Avenue,Bronx,10466,11521.319999999994
1427 Taylor Avenue,Bronx,10460,15724.900000000003
711-715 East 231st Street,Bronx,10466,10191.637999999986
144 East 208th Street,Bronx,10467,25326
2523-2525 University Avenue,Bronx,10468,27322.265000000007
1126-1130 Evergreen Avenue,Bronx,10472,22331.100000000013
1491-1493 Watson Avenue,Bronx,10472,19222.300000000007
1226 Sherman Avenue,Bronx,10456,32058.026000000005
1240 Sherman Avenue,Bronx,10456,49248.015
1784 East 17th Street,Brooklyn,11229,15115.2
20 Sherman Avenue,New York,10040,27188.6
55 West 129th Street,New York,10027,12575.900000000003
185-187 Claremont Avenue,New York,10027,27340.757
1166 Gerard Avenue,Bronx,10452,3999.229999999996
1738 University Avenue,Bronx,10453,13708.199999999993
101 Cooper Street,New York,10034,25009.760000000013
192-198 Nagle Avenue,New York,10034,58975.946
354 East Mosholu Parkway,Bronx,10458,62363.6
655 East 228th Street,Bronx,10466,42593.508
192-208 Nagle Avenue,New York,10034,19811.230000000003
830 West 177th Street,New York,10033,23048
75-25 153 Street,Queens,11367,403147.844
984 Bronx Park South,Bronx,10460,4905.070000000002
990 Bronx Park South,Bronx,10460,13426.800000000007
3154-3164 Grand Concourse,Bronx,10458,41933.96000000001
764-768 Brady Avenue,Bronx,10462,131052
227-01 69 Avenue,Queens,11364,363246.59699999995
754-756 Brady Avenue,Bronx,10462,59416.939999999995
154 West 18th Street,New York,10011,43230.54400000001
60 West 76th Street,New York,10023,34606.706000000006
144-30 35th Avenue,Queens,11354,86168.7
347 West 55th Street,New York,10019,21969.568
440 West 34th Street,New York,10001,98237.94599999998
4320 Broadway,New York,10033,61346.272
150-24 Northern Boulevard,Queens,11354,10452.603000000001
39-53 East 83rd Street,New York,10028,146806.98300000004
55 East 84th Street,New York,10028,128715.04
801 Westchester Avenue,Bronx,10455,56636.439999999995
1065 Nelson Avenue,Bronx,10452,27478.375
1055 Jerome Avenue,Bronx,10452,21990.003000000004
1055 University Avenue,Bronx,10452,35251.312999999995
1261 Merriam Avenue,Bronx,10452,105861.943
2710 Bainbridge Avenue,Bronx,10458,38930.282999999996
2755-61 Sedgwick Avenue,Bronx,10468,117680.13999999998
306 East 171st Street,Bronx,10457,2733.5999999999967
80 West 170th Street,Bronx,10452,13077.663000000006
1625-1631 Fulton Avenue,Bronx,10457,113374.117
250 West 26th Street,New York,10001,28961.152000000002
2132 Daly Avenue,Bronx,10460,11071.749999999993
2140 Daly Avenue,Bronx,10460,8684.875
250 East 176th Street,Bronx,10457,32937.200000000004
1234 Shakespeare Avenue,Bronx,10452,7651.735000000002
395 Fort Washington Avenue,New York,10033,85086.65000000001
1298 Inwood Avenue,Bronx,10452,64909.6
221 Thompson Street,New York,10012,48465.12
349 Canal Street,New York,10013,61366.372
301 East 66th Street,New York,10065,109719.736
43-25 44th Street,Queens,11104,5963
2755-69 Sedgwick Avenue,Bronx,10468,92409.07999999999
205 East 238th Street,Bronx,10470,10621.711000000008
309 West 125th Street,New York,10027,12462
144-30 35th Avenue,Queens,11354,55328.60000000001
385-395 Fort Washington Avenue,New York,10033,69834.837
82-46 Lefferts Boulevard,Kew Gardens,11415,42958.38999999999
120 West 228th Street,Manhattan,10463,76778.91799999999
16 East 169th Street,Bronx,10452,19611.703999999998
2121 Westbury Court,Brooklyn,11225,12751.440000000011
374 Wadsworth Avenue,New York,10040,38038.446
2525 Morris Ave,Bronx,10468,12266.695000000003
253-271 Sherman Avenue,New York,10019,8053.266000000006
760 Riverside Dr.,New York,10031,29123.694
561-565 West 180th Street,New York,10033,26550.893999999997
1610 Avenue P,Brooklyn,11229,83830.40000000001
1833-1845 Ocean Avenue,Brooklyn,11230,56161.007999999994
3080-3090 Voorhies Avenue,Brooklyn,11235,61030.3
763 Ocean Parkway,Brooklyn,11230,161215.4
800 Cortelyou Road,Brooklyn,11218,38076.636
706 Riverside Drive,New York,10031,103350.18
80 Dupont Street,Brooklyn,11222,50343.79999999999
143-40 Roosevelt Avenue,Queens,11354,84041.58399999999
143-55 41 Avenue,Queens,11355,2926.6270000000027
15 West 39th Street,New York,10018,26767.303999999996
46-01 67th Street,Queens,11377,61740.5
112-22 37th Avenue,Queens,11368,41473
501 West 143rd Street,New York,10031,1756.8739999999987
144-54 Sanford Avenue,Queens,11355,77684.22200000002
320 Wadsworth Ave,New York,10040,63114.40200000001
3130 Albany Crescent,Bronx,10463,29774.800000000007
33 West 17 Street,New York,10011,67587.188
63 Adrian Avenue,New York,10463,24366.828
245 10th Avenue,New York,10001,51308.868
3215 Netherland Avenue,Bronx,10463,60688.6
132 West 22 Street,New York,10011,46150.605
1060 Anderson Avenue,Bronx,10452,14599.3
2555 Bainbridge Avenue,Bronx,10458,25596.478999999996
2564 Creston Avenue,Bronx,10468,12949.42499999999
66 Post Avenue,New York,10034,6885.925000000007
6901 Narrows Avenue,Brooklyn,11220,2417.360000000003
1337 Edward L Grant Highway,Bronx,10452,11805.400000000003
2387-2389 Morris Avenue,Bronx,10468,1023.961000000001
601 West 184th Street,New York,10033,8535.934000000003
550 West 180th Street,New York,10033,35111.685000000005
1038-52 Anderson Avenue,Bronx,10452,11213.254000000004
65 Mount Hope Place,Bronx,10453,31617.970000000005
1561-1571 Sheridan Avenue,Bronx,10457,45430.95799999999
2090 Crotona Parkway,Bronx,10460,11026.190000000004
858-860 Southern Boulevard,Bronx,10459,24340.429999999997
91 Van Cortlandt Avenue West,Bronx,10463,43402.6
143-30 Roosevelt Avenue,Queens,11354,41497.72300000001
45-55 West 131st Street,New York,10037,6329.087999999996
522 West 29th Street,Manhattan,10001,12208.739999999987
388 Avenue S,Brooklyn,11223,12756.800000000007
31-50 140th Street,Queens,11354,119105.69900000001
545 West 164th Street,New York,10032,108709.57699999999
599 West 176th Street,New York,10033,10271.904000000008
601 West 191st Street,New York,10040,36742.867
610 West 174th Street,New York,10033,22817.720999999998
2303 Andrews Avenue North,Bronx,10468,20702.33
555 West End Avenue,New York,10024,85584.728
2476 Hughes Avenue AKA 2477 Belmont Avenue,Bronx,10458,924.599999999997
2431 Belmont Avenue,Bronx,10458,26397.933
116-08 Myrtle Avenue,Queens,11418,33647.4
651 New York Avenue,Brooklyn,11203,28235.542
2404 Crotona Avenue,Bronx,10458,35570.299999999996
25 East 67th Street,New York,10065,14498.666000000008
80 John Street,New York,10038,111556.60799999996
147-25 Northern Boulevard,Queens,11354,43737.60000000001
550-556 West 180th Street,New York,10033,3224.709999999992
237 West 37th Street,New York,10018,31514.11999999999
114 Albemarle Road,Brooklyn,11218,100554.806
621-645 Lefferts Avenue,Brooklyn,11203,81961.1
715 Saint Marks Avenue,Brooklyn,11216,22292.039000000008
1550 East 13th Street,Brooklyn,11230,27255.6
205 West 95th Street,New York,10025,33138.602
514 West 211th Street,Manhattan,10034,21070.83
402 Marine Avenue,Brooklyn,11209,15747.679999999997
333 East 109th Street,New York,10029,29633.027999999995
130 West 228th Street,New York,10463,34973.06199999999
1990 Ellis Avenue,Bronx,10472,4227.699999999993
3280 Rochambeau Avenue,Bronx,10467,42224.73999999998
3203 Nostrand Avenue,Brooklyn,11229,50674.77999999999
395 Oliver Place,Bronx,10458,2780.098000000002
8-10 Warren Street,New York,10007,28411.684999999998
212 North 9th Street,Brooklyn,11211,27485.142
1360 Ogden Ave,Bronx,10452,63399.755
1240 Bedford Avenue,Brooklyn,11216,16234.099999999997
85 South Street,New York,10038,71833.045
100 West 119th Street,New York,10026,34492.403999999995
4857 Broadway,New York,10034,21312.297999999995
6 West 107th Street,New York,10025,6619.867999999999
23-60 29th Street,Queens,11105,5356.247999999998
134-01 20th Avenue,Queens,11356,21025.672000000002
240-250 Jay Street,Brooklyn,11201,57519.634
1901 84th Street,Brooklyn,11214,40983.9
4 West 16th Street,New York,10011,6141.220000000006
133 Mulberry Street,New York,10013,19558.573
117 East 24th Street,New York,10010,33050.899
150 West 26th Street,New York,10001,37979.151000000005
715 Saint Marks Avenue,Brooklyn,11216,122820.04500000001
164 West 74th Street,New York,10023,41649.27700000001
9949 Shore Road,Brooklyn,11209,50584.59799999999
138 East 38th Street,New York,10016,6187.182000000001
760 Grand Concourse,Bronx,10461,71961.48400000001
23-35 Broadway,Queens,11106,75786.983
917 Sheridan Avenue,Bronx,10451,82818.70000000001
960 Sheridan Avenue,Bronx,10456,34945.458000000006
760 Hunts Point Avenue,Bronx,10474,33905.35
3890 Sedgwick Avenue,Bronx,10463,42434.45
555-565 Fort Washington Avenue,New York,10033,370.84499999999025
9-21 Sherman Avenue,New York,10040,8159.662000000004
304 West 117th Street,New York,10026,80613.39499999999
15 East Clarke Place,Bronx,10452,44796.2
259 West 144th Street,New York,10039,33319.77
1175 Gerard Avenue,Bronx,10452,42518.200000000004
582-586 Union Avenue,Bronx,10455,14452.234999999995
31 West Mosholu Parkway North,Bronx,10467,32714.893999999997
1104-1112 Carroll Place,Bronx,10456,24062.38000000001
401 Bronx River Avenue,Bronx,10473,38665.36500000002
2876 Jerome Avenue,Bronx,10468,21847.89599999999
226 Kimberly Place,Bronx,10463,33997.877
4966 Broadway,New York,10034,21186.74
119 Vermilyea Avenue,New York,10034,18409.054000000004
50-20 25th Street,Queens,11101,57861.2
1038 Boston Road,Bronx,10456,25339.802
1070 Anderson Avenue,Bronx,10452,32047.976000000006
108 East 176th Street,Bronx,10453,11651.300000000007
222-226 West 144th Street,Manhattan,10030,9259.399999999996
510 West 188th Street,Manhattan,10040,14941
566 Gates Avenue,Brooklyn,11221,35768.21799999999
582 Southern Boulevard,Bronx,10455,11095.87
586 Southern Boulevard,Bronx,10455,11555.088000000003
631 West 152nd Street,Manhattan,10031,24310.146000000004
651 Southern Boulevard,Bronx,10455,24252.927999999996
2037 Utica Ave,Brooklyn,11234,12808.725
135-139 West 20th Street,New York,10011,8565.95
18-20 West 21st Street,New York,10010,38844.657
1880 7th Avenue,New York,10026,1221.3430000000028
45-20 Astoria Boulevard South,Queens,11103,4332.555000000005
148-25 175th Street,Queens,11434,18545.6
255 East 138th Street,Bronx,10451,106521.893
233 West 83rd Street,New York,10024,2777.1500000000033
766 Westchester Avenue,Bronx,10455,11279.45
818 Lexington Avenue,Brooklyn,11221,31152.521
180 East 162nd Street,Bronx,10451,21731.182000000008
300 East 79th Street,New York,10075,31137.914999999994
350 East 82nd St.,New York,10028,103334.50200000004
400 East 90th Street,New York,10128,40749.467000000004
206-218 West 19th Street,New York,10011,31460.452999999998
93-95 Greene Street,Manhattan,10012,17902.132
350 West Broadway,Manhattan,10013,17285.263000000003
311 East 11 Street,Manhattan,10003,49786.962999999996
1201 Lafayette Avenue,Bronx,11221,129051.64800000002
183 Plymouth Street,Brooklyn,11201,20004.391
10 East 39th Street,New York,10016,14228.321000000004
122 West 27th Street,New York,10001,64806.219000000005
135 Madison Avenue,New York,10016,176342.124
152 West 25th Street,New York,10001,23336.434999999998
36 East 31st Street,New York,10016,219821.774
443 Park Avenue South,New York,10016,16882.727
902 Broadway,New York,10010,335844.066
151 West 26th Street,New York,10001,87087.471
154 West 14th Street,New York,10011,33257.99599999999
37 West 37th Street,New York,10018,80041.28199999999
1 East 33rd Street,New York,10016,103875.594
20 West 36th Street,New York,10018,57071.806
302 5th Avenue,New York,10001,36396.007999999994
1255 Broadway,New York,10001,70069.53799999999
37 East 12th Street,New York,10003,27014.4
389 5th Avenue,New York,10016,49690.41600000001
540 West 50th Street,New York,10021,22684.391000000003
588 Timpson Place,Bronx,10455,141057.24400000004
576 Timpson Place,Bronx,10455,72907.256
588 Timpson Place,Bronx,10455,34141.994
600 Timpson Place,Bronx,10455,34007.994
2105-2107 Wallace Avenue,Bronx,11231,239056
37-68 97th Street,Queens,11368,29734.600000000013
508 Fulton Street,Brooklyn,11201,32407.9
2160 Bronx Park East,Bronx,10463,42682.819
549 East 234th Street,Bronx,10470,41631.05299999999
160 Pilot Street,Bronx,10464,64356.91700000001
327 East 101st Street,Manhattan,10029,20403.041
263 Livingston Street,Brooklyn,11217,79488.8
1864 7th Avenue,New York,10026,37.45299999999793
1015 Summit Avenue,Bronx,10452,13286.099999999997
255 West 98th Street,Manhattan,10025,36942.46000000001
1171 Sherman Avenue,Bronx,10456,3213.856000000005
823 East 147th Street,Bronx,10455,3930.2200000000057
1185 Fulton Avenue,Bronx,10456,7880.54
1592 University Avenue,Bronx,10453,40783.23499999999
2001 Grand Concourse,Bronx,10453,14525.599999999997
330 East 109th Street,New York,10029,19784.966
5804 Tyndall Avenue,Bronx,10471,11872.400000000003
678 Saint Nicholas Avenue,Manhattan,10030,40710.674
789 MacDonough St,Brooklyn,11233,29191.297000000002
50 Morningside Drive,Manhattan,10025,19006.560000000005
2964 Valentine Avenue,Bronx,10458,18257.5
3201-3203 Hull Avenue,Bronx,10467,18813.6
3415 Fort Independence Street,Bronx,10463,21535.541999999994
90 North 5th Street,Brooklyn,11249,35243.60800000001
1980 Starr Street,Queens,11385,44236.079999999994
1955 Sedgwick Avenue,Bronx,10453,2284.0299999999943
125 96th Street,Brooklyn,11209,7980.638000000003
820 Franklin Avenue,Brooklyn,11225,11635.889999999998
199 Cook Street,Brooklyn,11206,27374.391
1007 Atlantic Avenue,Brooklyn,11238,52560.361
59 Allen Street,New York,10002,79313.863
7201 4th Avenue,Brooklyn,11209,57432.4
149 Essex Street,New York,10002,8912.406999999997
336 East 81st Street,New York,10028,5701.700000000002
123 Hope Street,Brooklyn,11211,111831.84399999998
1592-1600 University Avenue,Bronx,10453,29869.269999999997
1097-1099 Walton Avenue,Bronx,10452,58412.274999999994
1173-1175 Walton Avenue,Bronx,10452,6673.870000000008
3343 Sedgwick Avenue,Bronx,10463,21882.2
60 West 125th Street,New York,10027,153516.63099999996
100 Vandam Street,New York,10013,268752.209
2055 Cruger Avenue,Bronx,10462,27293.25399999999
990 President Street,Brooklyn,11225,36769.6
6410 Amboy Road,Staten Island,10309,54468.387
11-17 Beach Street / 32 Varick Street,New York,10013,70685
80-88 Lexington Avenue,New York,10016,143960.488
301 West 53rd Street,New York,10019,46330.63400000003
894 Riverside Drive,New York,10032,113292.176
976 Amsterdam Ave,New York,10025,15996.92
196 Stanton Street,New York,10002,10875.372999999998
3212-16 Decatur Avenue,Bronx,10467,29784.85
21 East 21st Street,Brooklyn,11226,5862.767999999994
31 East 21st Street,Brooklyn,11226,14699.8
75 Spring Street,New York,10012,46444.4
30 Vesey Street,New York,10007,90751.031
198-210 16th Street,Brooklyn,11215,30612.3
34-01 28 Avenue,Queens,11103,40200
200 Boscombe Avenue,Staten Island,10309,84701.40000000001
40 Sherman Avenue,New York,10040,2850.1799999999976
145 Audobon Avenue,New York,10032,4543.939999999996
545 West 162nd Street,New York,10032,26763.016
550 West 158th Street,New York,10032,25071.935999999998
625 West 156th Street,New York,10032,26011.543999999998
65 Willoughby Avenue,Brooklyn,11205,13504.117999999999
2244 Creston Avenue,Bronx,10453,15082.905999999995
411 East 83 Street,Manhattan,10028,37781.299999999996
480 Audubon Avenue,Manhattan,10040,3283
2162 Valentine Avenue,Bronx,10457,64816.336
31 Washington Street,Brooklyn,11201,15331.006999999998
250 West 105th Street,New York,10025,5037.059999999997
111 Woodruff Avenue,Brooklyn,11226,15559.007999999996
53-00 65th Place,Queens,11378,26853.6
134-14 Franklin Avenue,Queens,11355,130489.2
2709 Heath Avenue,Bronx,10463,12934.349999999997
3540 Decatur Avenue,Bronx,10467,22485.199999999993
98 Montague Street,Brooklyn,11201,142495.59999999998
612 Ocean Avenue,Brooklyn,11226,11854.577999999998
260 Linden Boulevard,Brooklyn,11226,64054.68
271 Lenox Road,Brooklyn,11226,81493.239
3366 Decatur Avenue,Bronx,10467,31758
2986 Briggs Avenue,Bronx,10458,19529.629000000004
265 Canal Street,New York,10013,103613.423
2870 Marion Avenue,Bronx,10458,30009.434
14 Butler Place,Brooklyn,11238,29432.162000000004
28-18 Astoria Boulevard,Queens,11102,39305.884999999995
43-32 22nd Street,Queens,11101,17580.8
41-16 47th Avenue,Queens,11104,28506.087999999996
33 Central Park West,New York,10023,48287.50299999999
890 Prospect Avenue,Bronx,10459,153353.75400000002
455 Jackson Avenue,Bronx,10455,46618.6
30 West 70th Street,Manhattan,10023,19509.730000000003
1809 7th Avenue,New York,10026,27209.50399999999
141-18 Cherry Avenue,Queens,11355,38789.515999999996
3950 Bronx Blvd,Bronx,10466,20066.835000000006
3136 Godwin Terrace,Bronx,10463,51506.92
445 West 153rd Street,New York,10031,98617.97
4321 Broadway,New York,10033,9849
629 West 54th Street,New York,10019,24656
43-06 45th Street,Queens,11104,31745.002000000004
129 Front Street,Manhattan,10005,22173.717
1400 Jesup Avenue,Bronx,10452,65760.5
2 Jumel Terrace,New York,10032,39277.007999999994
2060 5th Avenue,Manhattan,10027,18117.737999999998
2929 Briggs Avenue,Bronx,10458,6469.520000000004
180 Saint Nicholas Avenue,New York,10026,8013.870000000001
2600 Henry Hudson Parkway East,Bronx,10463,22230.6
488-500 Southern Boulevard,Bronx,10455,293039.03900000005
