Address,City,Postal Code,Fine Amount
27 Prospect Park West,Brooklyn,11215,48153.235
94-25 57th Ave,Queens,11373,284736.60000000003
91-60 193 Street,Hollis,11423,38367.61699999999
527 Lincoln Place,Brooklyn,11238,5075.383999999996
300 West End Avenue,New York,10023,114395.8
414 West 54th Street,New York,10019,14244.869999999994
720 St. Mary's St.,Bronx,10454,32562
90-36 149 Street,Jamaica,11435,49856.44199999998
505 Lincoln Place,Brooklyn,11238,34948.004
89-21 153rd Street,Queens,11432,21901.764000000003
127-92 Willets Point Boulevard,Corona,11368,24451.984999999993
129-02 Northern Blvd,Corona,11368,92818.785
493 Lincoln Place,Brooklyn,11238,37632.56
88-15 144th Street,Queens,11435,20060.871999999996
285 Schenectady Ave,Brooklyn,11213,54859.6
75 Ocean Ave,Brooklyn,11225,58102.4
201 WEST 75 STREET,New York,10023,5092.870999999995
136-18 39th Ave,Flushing,11354,33610.55
213 West 23rd St,NEW YORK,10011,34720.740000000005
2408-12 Amsterdam Ave,New York,10033,33156.96
493 Fulton St,Brooklyn,11201,31242.904
85-28 118th St,Jamaica,11415,58769.318
285 W Broadway,New Yok,10013,8240.664999999994
85-25 61st Rd,Queens,11374,29362.415
92-70 220th St,Queens,11428,79805.978
1321 Oak Point Ave,Bronx,10474,40243.282
131 Beach 119th St,Queens,11694,55914.18
545 Prospect Pl,Brooklyn,11238,231725.66400000002
601 Wortman Ave,Brooklyn,11208,45119.475000000006
14-47 143rd St,Queens,11357,61940.83
301-303 West 125th Street,New York,10027,18894
814 AMSTERDAM AVENUE,NEW YORK,10025,83191.82299999999
308 East 38 Street,New York,10016,70201.394
155 WEST 21 STREET,NEW YORK,10011,132138.606
552 Prospect Place,Brooklyn,11238,52625.083
1725-1739 Stillwell Avenue,Brooklyn,11223,49604.455
89-11 153 Street,Jamaica,11432,49094.92
97 Boerum Place,Brooklyn,11201,30380.480000000003
2211-25 Church Ave,Brooklyn,11226,12033.2
88-15 168 Street,Jamaica,11432,50380.44900000001
88-09 148 Street,Jamaica,11435,18947.868000000006
88-06 Parsons Boulevard,Jamaica,11432,15577.5
88-05 Merrick Boulevard,Jamaica,11432,37875.234
1150 Metropolitan Ave,Brooklyn,11237,149812
88-25 148 Street,Jamaica,11435,45687.3
88-18 150 Street,Queens,11435,7620.311999999999
22-10 79th St,Jackson Hgts,11370,72342.178
22-10 80th St,Jackson Hgts,11370,51761.58700000001
22-10 79th Street & 22-10 80th Street,Queens,11370,168993.765
88-05 171 st Street,Queens,11432,40509.54000000001
87-87 171 Street,Jamaica,11432,40618.884
2825 Claflin Avenue,Bronx,10468,62738.8
87-84 165 Street,Jamaica,11432,33425.630000000005
3065 Grand Concourse,Bronx,10468,27448.55999999999
51-25 Van Kleeck Street,Queens,11373,17219
195-24/30 Jamaica Ave,Queens,11423,35638.841
191-11 Woodhull Ave,Queens,11423,23261.059999999998
58 GERRY STREET,BROOKLYN,11206,91324.216
187-35 Hillside Avenue,Jamaica,11432,17277.423999999988
1001 Stanley Ave,Brooklyn,11208,41929.604999999996
153 FATHER ZEISER PLACE,BRONX,10468,56708.8
2315 CRESTON AVE,BRONX,10468,540.8239999999926
1135 HOE AVENUE,BRONX,10459,10496.085999999994
135-145 West Kingsbridge Road,Bronx,10468,23731.4
166-33 89 Avenue,Jamaica,11432,29418.89600000001
164-03 89th Avenue,Queens,11432,15903.12
201 East 62nd Street,New York,10065,104030.9
207 East 57th Street,New York,10022,11282.130000000023
3935 Blackstone Avenue,Bronx,10471,97391.2
305 East 40th Street,New York,10016,89527.544
505 Court Street,Brooklyn,11231,44970.39999999999
111 Fourth Avenue,New York,10003,56695.39999999999
365 Bridge Street,Brooklyn,11201,3101.2290000000175
200 West 79th Street,New York,10024,301513.39999999997
1212 Fifth Avenue,New York,10029,137319.515
137-139 West 25th Street,New York,10001,41998.95
2000 Broadway,New York,10023,178402.64199999996
302 West 86th Street,New York,10024,89353.81300000001
32 West 18th Street,New York,10011,47443.37000000001
1 West 67th Street,New York,10023,112246.44000000005
2915 West 5th Street,Brooklyn,11224,638814.85
440 Neptune Avenue,Brooklyn,11224,781284.4539999999
141 Barrow Street,New York,10014,205625.00999999998
726 Washington Street,New York,10014,120000.34999999998
140 West End Avenue,New York,10023,475802.71099999984
150 West End Avenue,New York,10023,323015.91099999996
180 West End Avenue,New York,10023,342233.31999999995
205 West End Avenue,New York,10023,275217.84299999994
120 Riverside Boulevard,New York,10069,145987.77399999992
115 Central Park West,New York,10023,401220.32100000005
87-56 Francis Lewis Boulevard / 204-15 Foothill Avenue,Queens,11427,119689.068
87-15 204th Street / 87-40 Francis Lewis Boulevard,Queens,11427,103555.46800000002
87-50 204th Street / 202-35 Foothill Avenue,Quuens,11427,120707.468
87-10 204th Street / 87-30 204th Street / 86-70 Francis Lewis Boulevard,Queens,11474,187037.60199999998
200 East 32nd Street,New York,10016,42255.35900000004
201 East 21st Street,New York,10010,199205.539
433 East 56th Street,New York,10022,93412.33799999999
333 East 69th Street,New York,10021,153503.03
315 West 70th Street,New York,10023,157201.966
3 Hanover Square,New York,10004,22382.489
122 East 82nd Street,New York,10028,38164.875
1270 Fifth Avenue,New York,10029,102751.20000000003
200 East 36th Street,New York,10016,68459.86299999998
20 East 35th Street,New York,10016,94619.00799999999
425 Fifth Avenue,New York,10016,5937.740999999973
401 East 65th Street,New York,10065,52444.18299999999
400 East 85th Street,New York,10028,170375.70700000002
245 East 72nd Street,New York,10021,90952.09800000001
300 East 74th Street,New York,10021,246272.43599999993
157 Hudson Street,New York,10013,29147.479000000003
211 Thompson Street,New York,10012,47844.70000000001
25 West 13th Street,New York,10011,132552.8
520 West 23rd Street,New York,10011,88714.09700000001
420 West 25th Street,New York,10001,44442.373000000014
263 9th Avenue,New York,10001,59454.99599999999
201 West 27th Street,New York,10011,24328.704999999987
130 West 30th Street,New York,10001,37501.91
16 West 16th Street,New York,10011,322977.58699999994
5 East 22nd Street,New York,10010,79846.91500000005
325 Fifth Avenue,New York,10016,67738.87599999996
10 Park Avenue,New York,10016,65555.882
81 Irving Place,New York,10003,68814.62799999998
4 Lexington Avenue,New York,10010,73501.68
160 East 38th Street,New York,10016,28264.754000000004
245 East 25th Street,New York,10010,55159.02299999996
200 East 27th Street,New York,10016,54069.13399999997
340 East 23rd Street,New York,10010,33258.80000000004
30 West 60th Street / 345 West 58th Street,New York,10019,194300
350 West 53rd Street,New York,10019,1675
322 West 57th Street,New York,10019,146396.27299999978
333 West 57th Street,New York,10019,151312.73299999998
50 Central Park West,New York,10023,100638.958
41 West 72nd Street,New York,10023,22197.903999999995
135 West 70th Street,New York,10023,32975.38999999998
375 West End Avenue,New York,10024,59447.09000000001
225 Central Park West,New York,10024,188284.06999999995
35 West 92nd Street,New York,10025,78435.22499999999
50 West 96th Street,New York,10025,109743.99000000002
55 West 95th Street,New York,10025,62901.94499999999
102 West 85th Street,New York,10024,1553.2609999999995
221 West 82nd Street,New York,10024,70248.36099999998
2373 Broadway,New York,10024,194718.08
588 West End Avenue,New York,10024,23937.424999999992
250 West 89th Street,New York,10024,24345.254000000004
250 West 90th Street,New York,10024,1784.277000000021
639 West End Avenue,New York,10024,75160.80099999999
685 West End Avenue,New York,10025,97519.90699999998
150 East 49th Street,New York,10017,51355.50000000001
212 East 47th Street,New York,10017,33037.36500000002
301 East 45th Street,New York,10017,7822.6520000000055
317-321 East 50th Street,New York,10022,69397.93000000001
333 East 57th Street,New York,10022,92151.8
400 East 54th Street,New York,10022,22869.645999999982
50 Sutton Place South,New York,10022,142133.264
166 East 63rd Street,New York,10065,42419.70999999998
315 East 65th Street,New York,10065,74071.51499999997
310 East 70th Street,New York,10021,53854.60000000001
300 East 71st Street,New York,10021,122950.15899999996
305 East 72nd Street,New York,10021,64551.08299999998
343 East 74th Street,New York,10021,28133.902999999977
404 East 76th Street,404 East 76th Street,10021,6258.134999999983
969 Park Avenue,New York,10028,93086.986
152 East 94th Street,New York,10128,142672.212
401 East 84th Street,New York,10028,57376.25400000001
60 East End Avenue,New York,10028,123430.88399999996
500 East 83rd Street,New York,10028,93349.75999999998
55 East End Avenue,New York,10028,189208
130 Malcolm X Blvd,New York,10026,179227.81399999995
392 Central Park West,New York,10025,343746.85
207-215 West 98th Street,New York,10025,86636.561
885 West End Avenue,New York,10025,74550.69900000001
390 Riverside Drive,New York,10025,167541.674
300 West 145th Street,New York,10030,85750.88800000004
84-25 Elmhurst Avenue,Queens,11373,62109.535999999986
67-87 - 68-09 Booth Street,Queens,11375,121793.94
78-10 34th Avenue,Queens,11372,57880.69700000001
34-20 79th Street,Queens,11372,59408.297
34-40 79th Street,Queens,11372,58577.496999999996
78-11 35th Avenue,Queens,11372,63079.897
34-41 78th Street,Queens,11372,60775.096999999994
34-21 78th Street,Queens,11372,58550.69700000001
80-35 Springfield Boulevard,Queens,11427,81354.884
226-26 Union Turnpike,Queens,11364,134569.768
213-05 75th Ave,Queens,11364,464226.116
212-03 75th Avenue,Queens,11364,165790.964
213-06 75th Avenue,Queens,11364,735332.7719999999
73-11 Bell Boulevard,Queens,11364,143066.172
75-05 210 Street,Queens,11364,201568.964
22 Riverside Drive,New York,10023,15768.048000000003
124 East 79th Street,New York,10075,7845.900999999989
151 West 21st Street,New York,10011,50746.202
310 Lexington Avenue,New York,10016,86207.42599999999
514 West End Avenue,New York,10024,25657.247999999996
473 West End Avenue,New York,10024,64517.314999999995
420 East 55th Street,New York,10022,36561.56499999998
444 East 75th Street,New York,10021,25053.980000000003
21 East 87th Street,New York,10128,144762.478
1120 Fifth Avenue,New York,10128,141611.19999999995
14-01 - 14-15 Bonnie Lane,Queens,11360,163763.74499999997
605-611 West 111th Street,New York,10025,30229.327999999998
1485 Pacific Street,Brooklyn,11216,82343
510 Waverly Avenue,Brooklyn,11238,32307.333000000006
30 Crosby Street,New York,10013,20059.062999999995
31 Jane Street,New York,10014,128714.37
430 West 34th Street,New York,10001,36326.73
245 Seventh Avenue,New York,10001,38318.50600000001
240 East 35th Street,New York,10016,31909.419999999984
243 West 60th Street,New York,10023,2633.234000000009
255 East 49th Street,New York,10017,30636.620999999996
196 East 75th Street,New York,10021,115007.84500000002
145 Park Place,Brooklyn,11217,85638.73000000001
181 Clermont Avenue/174 Vanderbilt Avenue,Brooklyn,11205,79149.11
4-74 48th Avenue,Queens,11109,227065.345
300 West 72nd Street,New York,10023,25123.66
315 East 77th Street,New York,10075,36324.653
15 West 72nd Street,New York,10023,340466.128
34 North 7th Street,Brooklyn,11249,172234.88999999996
68 Bradhurst Avenue,New York,10039,89949.91200000001
102 Bradhurst Avenue,New York,10039,103271.12000000001
181 East 73rd Street,New York,10021,86629.99500000001
1901 Madison Avenue,New York,10035,89272.87700000004
350 East 30th Street,New York,10016,94678.90600000002
540 West 49th Street/545 West 48th Street,New York,10019,53501.309
120 East 90th Street,New York,10128,37180.10900000001
210 East 73rd Street,New York,10021,89623.756
415 Washington Street,New York,10013,33978.045000000006
1349 Lexington Avenue,New York,10128,55174.09800000001
9 Barrow Street,New York,10014,74824.26000000001
60 West 68th Street,New York,10023,26547.343000000004
200 East 24th Street,New York,10010,109145.68
