Address 1,City,Postal Code,Largest Property Use Type - Gross Floor Area (ft²),Natural Gas Use (therms),Electricity Use - Grid Purchase (kWh),Green Power - Offsite (kWh),Net Emissions (Metric Tons CO2e),Avoided Emissions - Onsite and Offsite Green Power (Metric Tons CO2e),Water Use (All Water Sources) (kgal),Latitude,Longitude
36-16 Astoria Blvd.,Long Island City,11103,25000,10625.27867,176982.1,0,107.5,0,910.8,40.769272,-73.913633
70 West 93rd Street,New York,10025,260780,8273.198321,1229531.2,0,398.6,0,12826.8,40.790503,-73.96792
28-50 West 97th Street,New York,10025,324378,179358.0772,1283733.2,0,1323,0,16038,40.792758,-73.965171
310 Greenwich Street / 40 Harrison Street,New York,10013,1039841,992843.9804,7797471.9,0,7582.1,0,68151.7,,
87 Hamilton Place,New York,10031,72662,70244.18194,382355,0,483.4,0,7450.3,40.823008,-73.95067
3458-68 Broadway,New York,10031,99110,75330.98064,501567,0,544.8,0,239,40.823978,-73.95223
3513-15 Broadway,New York,10031,89199,72101.40527,526459.1,0,534.8,0,Not Available,40.825608,-73.951062
1061 St. Nicholas Avenue,New York,10032,52428,53504.82864,251232.7,0,356.7,0,4819.8,40.837333,-73.94006
65 Ft. Washington Avenue,New York,10032,70384,56610.50318,273748.8,0,379.6,0,7408.1,40.837275,-73.94423
105 Haven Avenue,New York,10032,58574,42853.85829,227141.4,0,293.1,0,6979.4,40.844795,-73.942381
1301-13 St. Nicholas Avenue,New York,10033,65136,76895.28247,628963.5,0,589.9,0,Not Available,40.845538,-73.936507
4241-47 Broadway,New York,10033,65115,71976.52479,577043.8,0,548.8,0,Not Available,40.849641,-73.936311
4231-39 Broadway,New York,10033,62667,29825.3031,596483.2,0,330.5,0,Not Available,40.849268,-73.936717
117-23 Dyckman Street,New York,10040,70500,48907.98523,539917.8,0,415.5,0,8017.6,40.862186,-73.925107
118-28 Vermilyea Avenue,New York,10034,58198,59785.49644,548929.7,0,475.9,0,7441.3,40.866433,-73.921526
106-16 Vermilyea Avenue,New York,10034,58198,Not Available,Not Available,Not Available,0,Not Available,6321,40.866276,-73.921942
701 West 177th Street,New York,10033,75000,91172.32504,913341.9,0,747.7,0,Not Available,40.847609,-73.938258
1795 Riverside Drive,New York,10034,85580,2475.370994,421137,0,518.5,0,6642.9,40.866381,-73.930388
236 East 13th Street,New York,10003,56083,38358.64213,257499,0,278,0,Not Available,40.732211,-73.986776
44-50 West 28th Street,New York,10001,141830,43181.83111,1077277.7,0,540.1,0,721.4,40.745556,-73.989386
223 2nd Avenue,NY,10003,47362,32455.52189,612436.1,0,453.5,0,6921.7,40.732129,-73.98512
119-21 West 23rd Street,New York,10011,98800,47.21935578,738840.8,0,555.7,0,2451.4,40.743248,-73.993591
1655 Undercliff Avenue,Bronx,10453,157850,158716.2536,680072,0,1039.2,0,14806.2,40.849424,-73.921759
1889 Sedgwick Avenue,Bronx,10453,157625,99404.47499,545092.3,0,685.2,0,11822.2,40.854224,-73.917347
950 Underhill Avenue,Bronx,10473,242807,116603.9052,1012864.7,0,911.5,0,16575.6,40.824694,-73.860859
2010-42 Bruckner Boulevard,Bronx,10473,386246,321877.3445,1666633.8,0,2190.4,0,26825.1,40.826123,-73.855483
801-11 Neill Avenue,Bronx,10462,242400,177758.9091,1127991.7,0,1269.5,0,15757.6,40.850342,-73.864431
288 9th Street,Brooklyn,10003,165367,216767.9925,829876,0,1390.7,0,11848.7,,
49-57 Crown Street,Brooklyn,11225,320000,349501.9974,2056763.7,0,2449.7,0,Not Available,40.667286,-73.959905
522 Ocean Avenue,Brooklyn,11226,78464,66241.99677,482163.1,0,490.9,0,6912,40.649865,-73.960979
918 East 14th Street,Brooklyn,11230,41339,Not Available,178414.4,0,342.5,0,3894.8,40.626801,-73.96266
90-10 34th Avenue,Queens,11372,75298,Not Available,449543.8,0,727.7,0,7483.3,40.754527,-73.877392
32-02 Skillman Avenue,Queens,11101,301000,122010.0412,2024375.8,0,1232,0,Not Available,40.746317,-73.933097
1020-26 Amsterdam Avenue,New York,10025,95155,52302.77476,450303.1,0,407.7,0,Not Available,40.8031,-73.963782
666-68 West End Avenue,New York,10025,236860,154972.966,1689013.9,0,1310.3,0,15216,40.793033,-73.974817
884-90 2nd Avenue,New York,10022,304813,254616.7878,2157396.6,0,1974.7,0,16792.5,40.75309,-73.969812
320-22 East 52nd Street,New York,10022,86279,24045.40716,616485.6,0,305.5,0,4179.9,40.755828,-73.966912
50 West 93rd Street,New York,10025,120000,242179.5798,586359.9,0,1455.5,0,14115.1,40.790327,-73.967509
752 West End Avenue,New York,10025,190178,102514.3553,1307762.8,0,921.7,0,7487.3,40.795667,-73.972895
185 St. Marks Place,Staten Island,10301,454076,341425.3403,3017274.8,0,2720.9,0,2786.5,40.645358,-74.080729
4191 broadway,New York,10033,85000,75677.38475,738316,0,614.9,0,9052.9,40.848053,-73.937835
233 Spring Street,New York,10013,255000,113648.9079,3802463.1,0,1802.9,0,6326.1,40.725583,-74.004737
161 Sixth Avenue,New York,10013,285000,21435.17106,3468047.4,0,1114.2,0,Not Available,40.725677,-74.003976
252 West 76th Street,New York,10023,51600,33764.8856,308768.4,0,268.4,0,1644.6,40.782028,-73.981747
600 West 136th Street,New York,10031,61912,96576.33321,464049,0,646.8,0,9343.1,40.820935,-73.954996
220 Fifth Avenue,New York,10001,140960,8915.368251,1178216,0,843.1,0,Not Available,40.74361,-73.988091
155 Ridge Street,New York,10002,34045,40597.09055,159119,0,261.5,0,1544.1,40.720334,-73.9825
2-4 West 111th Street,New York,10026,25721,34258.46483,489404,0,323.1,0,2408.9,40.797674,-73.949262
27-29 East 124th Street,New York,10035,32945,2672.754892,298538.4,0,100.3,0,359.9,40.805224,-73.941512
571 West 139th Street,New York,10031,47166,52003.18662,252344.9,0,349,0,Not Available,40.822389,-73.952589
547 West 142nd Street,New York,10031,44298,48871.27321,514298.2,0,407.9,0,3988.9,40.824013,-73.95064
540 West 143rd Street,New York,10031,46946,48965.57299,345719.5,0,359.8,0,Not Available,40.824713,-73.950416
510 West 144th Street,New York,10031,41420,42495.76102,188146.4,0,280,0,4980,40.824811,-73.948714
1071 St. Nicholas Avenue,New York,10032,32400,32755.36693,159436.2,0,220,0,3168,40.837292,-73.940064
604 West 162nd Street,New York,10032,30204,33157.572,174591.6,0,226.5,0,4738,40.837362,-73.943052
395 East 151st Street,Bronx,10455,36360,34788.55358,333630.3,0,281,0,Not Available,40.817621,-73.917501
308 Eckford Street,Brooklyn,11222,36787,26398.9976,310642.6,0,229.8,0,1054.8,40.729603,-73.952067
211 Mcguinness Boulevard,Brooklyn,11222,212000,46870.00213,1948121.7,0,810.9,0,Not Available,40.729525,-73.95097
3505 Broadway,New York,10031,62095,1489.651606,291335.6,0,429.2,0,4999.8,40.825361,-73.951243
3430 Broadway,New York,10031,72774,51234.21701,506707.9,0,433.7,0,1249.6,40.822973,-73.952961
118-28 Vermilyea Avenue,New York,10034,116396,59785.49644,548929.7,0,475.9,0,13762.3,40.866433,-73.921526
70 West 93rd Street,New York,10025,380780,250452.7781,1815891.2,0,1854.1,0,39769.5,40.790503,-73.96792
139-55 35th Avenue,Queens,11354,63660,64242.48374,307185.2,0,429.8,0,10.6,40.765445,-73.827207
140-54 West 72nd Street,New York,10023,51410,38319.15688,484180.7,0,434.6,0,Not Available,40.778017,-73.980253
142-02 84th Drive,Queens,11370,57124,44143.00401,282764.8,0,336.5,0,4008.6,40.710978,-73.814883
142-148 Laurel Hill Terrace,New York,10040,80109,62589.20219,355610.1,0,435,0,4684.6,40.852263,-73.927196
196-204 7th Avenue,New York,10011,61690,42432.0647,386966.8,0,337,0,2685.3,40.743106,-73.996377
224-10 Jamaica Avenue,Queens,11428,74588,54242.99927,615930.7,0,492.5,0,2307.7,40.721854,-73.730729
27-10 30th Avenue,Queens,11102,46175,37055.29898,228338.1,0,262.7,0,2819.4,40.768025,-73.92383
31-16 68th Street,Queens,11377,56344,58792.00237,369408.5,0,429.1,0,6132.3,40.757436,-73.899149
33-24 Parsons Boulevard,Queens,11354,106554,65452.90196,482607.2,0,486.9,0,7205.2,40.767754,-73.824136
342 East 67th Street,New York,10021,63375,30302.52091,349670.8,0,261.8,0,2863.5,40.765158,-73.95963
350 West 55th Street,New York,10019,78963,46179.84657,371520.5,0,352.4,0,3040.9,40.766021,-73.985267
37-07 147th Street,Queens,11354,72773,54427.93858,344229.1,0,388.4,0,5385.1,40.764431,-73.81925
371 2nd Avenue,New York,10016,77640,54098.09456,359965.7,0,391.2,0,4961.8,40.736885,-73.981647
4761 Broadway,New York,10034,123060,113004.1668,1082692,0,912.5,0,Not Available,40.865679,-73.926892
5009 Broadway,New York,10034,89630,76110.21301,418457.5,0,525,0,6136.5,40.869199,-73.916989
542 East 79th Street,New York,10021,56984,542.70061,560397.7,0,164.5,0,2212.7,40.77036,-73.94803
555 East 78th Street,New York,10002,81922,2388.058839,636426.6,0,196.3,0,Not Available,40.769922,-73.949049
585 West End Avenue,New York,10024,209113,123350.4714,765117.6,0,875.9,0,5337.3,40.790566,-73.977118
65 Hillside Avenue,New York,10040,56140,42751.17369,209274.2,0,287.4,0,Not Available,40.858565,-73.928324
80 Bennett Avenue,New York,10033,71661,54898.25239,312406.4,0,381.7,0,Not Available,40.852806,-73.935488
910 West End Avenue,New York,10025,132596,78368.01285,560994.6,0,578.1,0,Not Available,40.800664,-73.969255
245 East 19th Street,New York,10003,261805,166988.3584,1449266.7,0,1305,0,Not Available,40.735828,-73.983614
36-25 Parsons Boulevard,Queens,11354,62350,43896.78737,197307,0,290.1,0,3685.5,40.764338,-73.823326
80 Seaman Avenue,New York,10034,55080,42789.34003,210226.8,0,287.9,0,Not Available,40.868076,-73.925114
85-02 139th Street,Queens,11435,85020,73241.99945,377020.1,0,518.3,0,5579.9,40.708695,-73.816967
86-11 Whitney Avenue,Queens,11373,81073,52628.99866,306481.1,0,388.4,0,5743.5,40.741812,-73.878812
1472 York Avenue,New York,10021,89026,27959.7888,873481.7,0,400.5,0,Not Available,40.770911,-73.950774
250 East 63rd Street,New York,10065,199784,6012.1589,1675466.5,0,1612.2,0,9600,40.76357,-73.963623
355 East 72nd Street,New York,10021,179407,122778.3619,1545749.4,0,1098,0,7921.1,40.768201,-73.956917
147-11 34th Avenue,Queens,11354,49617,31671.29507,207305,0,228,0,2682.9,40.767423,-73.819589
36-14 165th Street,Queens,11358,87000,2873.545477,422850.6,0,719.6,0,5050.8,40.762751,-73.800841
200 West 15th Street,New York,10011,116249,69986.37745,729899.3,0,582.3,0,3944.8,40.739417,-73.999614
83-09 35th Avenue,Queens,11372,56442,66562.99767,203689.9,0,458.4,0,4315.5,40.751913,-73.883562
49-15 Skillman Avenue,Queens,11377,76320,72149.84763,336438.8,0,480.3,0,5323.9,40.746228,-73.914998
47-09 Skillman Avenue,Queens,11104,61056,47684.76418,201214.8,0,311.3,0,2818.4,40.746446,-73.916893
46-01 – 46-31 Skillman Avenue; 39-77 – 39-94 47th Street,Queens,11104,67869,66568.7022,425642.9,0,476.4,0,Not Available,,
118-80 Metropolitan Avenue,Queens,11415,72122,43047.0007,234303.7,0,296.2,0,5300.9,40.706308,-73.832353
301 West 45th Street,New York,10036,117778,5462.894229,951060.9,0,1283.5,0,8113.8,40.759351,-73.988814
134 West 58th Street,New York,10019,62200,46446.3062,247441.8,0,318.1,0,3055.3,40.765462,-73.977827
504 East 79th Street,New York,10075,48432,568.0635073,224692.7,0,67.8,0,Not Available,40.77116,-73.949907
510 East 79th Street,New York,10075,44364,529859.967,169951.3,0,2863.4,0,5979.8,40.77105,-73.949647
532 East 79th Street,New York,10075,44952,758.402197,198728.5,0,61.4,0,1748.9,40.770646,-73.948694
524 East 79th Street,New York,10075,44364,800.8871138,213207.4,0,65.8,0,Not Available,40.770792,-73.949041
516 East 79th Street,New York,10075,44364,567.2651268,219265.2,0,66.3,0,1743.1,40.77094,-73.949387
511 East 78th Street,New York,10075,44364,430.7862894,364604.1,0,107.5,0,11516.4,40.770444,-73.950276
519 East 78th Street,New York,10075,44764,641.6381033,213463.8,0,65,0,1820.1,40.770298,-73.949929
503 East 78th Street,New York,10075,47574,543.4082631,223458.4,0,67.3,0,1836.5,40.770587,-73.950619
527 East 78th Street,New York,10075,44364,709.8528668,230273,0,70.2,0,2744.6,40.770087,-73.949435
535 East 78th Street,New York,10075,44364,598.0110904,205923.5,0,62.6,0,1323.4,40.770067,-73.949388
555 East 78th Street,New York,10075,679838,566368.8298,4333874,0,4258.4,0,Not Available,40.769922,-73.949049
1603 Hobart Avenue,Bronx,10461,46000,33584.3778,311144.1,0,268.1,0,4612.5,40.844428,-73.829482
211-01 26th Ave,Queens,11360,132289,70527.07013,2547466.3,0,1109.4,0,4414.2,40.77796,-73.778456
83-45 Broadway,Elmhurst,11373,191110,10791.99992,820901.2,0,1222.2,0,14193.2,40.740179,-73.878761
2675 Henry Hudson Pkwy.,Bronx,10463,92782,49042.08591,281646.2,0,341.7,0,4475.6,40.881081,-73.917882
"1380 Riverside Drive, 1384 Riverside Drive",New York,10033,150105,5571.30624,504913.2,0,882.1,0,6298.6,40.852295,-73.941359
102 N END AVE,NEW YORK,10281,320162.4,Not Available,1003078.8,0,289.3,0,Not Available,40.714812,-74.016153
850 BROADWAY,NEW YORK,10003,161077.5,Not Available,1894278.6,0,546.4,0,Not Available,40.734407,-73.990838
2474 FOREST AVE,STATEN ISLAND,10303,70000,13590.43393,920761.3,0,337.8,0,Not Available,40.627311,-74.172774
3530 38TH ST,ASTORIA,11101,84000,24956.42927,994200,0,419.3,0,Not Available,40.754946,-73.923372
106 COURT ST,BROOKLYN,11201,106676.3,Not Available,1407100,0,405.9,0,Not Available,40.69056,-73.991962
555 Nereid Avenue,Bronx,10470,51070,Not Available,525263.9,0,160.2,0,436.1,40.899871,-73.857923
1325 Jerome Avenue,Bronx,10452,187000,695.4516101,696883.5,0,204.7,0,Not Available,40.838715,-73.918794
223 East 117th Street,New York,10035,34050,27317.14424,261232.7,0,220.4,0,4094.9,40.798344,-73.938827
510 Gates Avenue,Brooklyn,11216,32883,3694.999851,99941,0,48.5,0,650.8,40.68679,-73.945553
1420 Crotona Park East,Bronx,10460,36134,12838.48423,215587.3,0,130.4,0,7383.3,40.834596,-73.896325
89 Porter Avenue,Brooklyn,11237,70000,44424.27242,766979.3,0,457.2,0,Not Available,40.707685,-73.928855
3100 Webster Avenue,Bronx,10467,76900,0,255089,0,73.6,0,3013.7,40.870972,-73.877076
4217 1 Avenue,Brooklyn,11232,90335,6310.000046,722828.1,0,242,0,293.5,40.65477,-74.014629
4217 1 Avenue,Brooklyn,11232,52500,3155.000023,Not Available,Not Available,16.8,Not Available,Not Available,40.65477,-74.014629
4217 1 Avenue,Brooklyn,11232,28149,3155.000023,Not Available,Not Available,16.8,Not Available,Not Available,40.65477,-74.014629
4217 1 Avenue,Brooklyn,11232,9686,Not Available,Not Available,Not Available,0,Not Available,Not Available,40.65477,-74.014629
155 East 182 Street,Bronx,10453,28745,39466.14997,122404.2,0,244.9,0,3769.7,40.856339,-73.901594
114-120 West 30th St,Manhattan,10001,34818,14388.36314,367700.1,0,182.5,0,365.4,40.747568,-73.990335
275 KOSCIUSKO ST,Brooklyn,11221,30919,16054.00024,264005.1,0,161.4,0,Not Available,40.691491,-73.943912
2065 Walton Ave,Bronx,10453,53733,24753.07542,485285.7,0,271.5,0,2146.9,40.853952,-73.906026
19-25 Hyatt St,Staten Island,10301,40892,17622.00164,642613.4,0,279,0,Not Available,40.641913,-74.077176
317 West 87th Street,New York,10024,44256,621.9204963,207562.5,0,291.8,0,1295.4,40.789844,-73.978018
"1474 Third Avenue, 1474-1478 Third Avenue",New York,10028,65724,40000.96213,467181,0,347.2,0,3462.5,40.777129,-73.955232
145 East 76th Street,New York,10021,65953,24057.76562,749585.2,0,344,0,2710.9,40.772899,-73.960033
"451 Broome Street, New York",Manhattan,10013,70759,398.3878804,365676.6,0,428.8,0,1837.4,40.722117,-74.000541
935 Kelly Street,Bronx,10459,25700,3041.901535,288561.6,0,99.4,0,4987.6,40.820666,-73.895902
94-30 59 AVENUE,Queens,11373,699956,455764.9938,1310063.1,0,2798.7,0,4975.4,40.734997,-73.866231
9411 60 AVE,Queens,11373,368854,104297.0011,Not Available,Not Available,554,Not Available,Not Available,40.734278,-73.866139
9431 59 AVE,Queens,11373,368854,3469.000253,Not Available,Not Available,18.4,Not Available,Not Available,40.735013,-73.866239
5710 Junction Blvd,Queens,11373,368854,59924.99869,Not Available,Not Available,318.3,Not Available,Not Available,40.736495,-73.865766
9431 60 AVE,Queens,11373,368854,5545.00014,Not Available,Not Available,29.5,Not Available,Not Available,40.734349,-73.865897
9430 60 AVE,Queens,11373,368854,55903.99745,Not Available,Not Available,296.9,Not Available,Not Available,40.734332,-73.86589
9430 58 AVE,Queens,11373,368854,113732.9988,Not Available,Not Available,604.1,Not Available,Not Available,40.735662,-73.866569
9410 59 AVE,Queens,11373,368854,3768.000417,Not Available,Not Available,20,Not Available,Not Available,40.734926,-73.866473
94-31 59 Avenue,queens,11373,699956,Not Available,295342.1,0,85.2,0,Not Available,40.735013,-73.866239
94-31 60 Ave,Queens,11373,699956,Not Available,408474,0,117.8,0,Not Available,40.734349,-73.865897
94-30 60 Ave,Queens,11373,699956,Not Available,296899.1,0,85.6,0,Not Available,40.734332,-73.86589
79 West 12th Street,New York,10011,125926,78857.86298,759990.3,0,638.1,0,3982.6,40.735868,-73.997391
345 East 54th St,Manhattan,10022,37732,838.65457,206974.1,0,378.7,0,1730.7,40.756926,-73.965594
201 West 85th St.,New York,10024,102693,2254.272749,385330.1,0,504.3,0,3995.3,40.787101,-73.975726
225 Eastern Parkway,Brooklyn,11238,93085,63895.99594,316087,0,430.6,0,3214,40.671335,-73.960977
376 President Street,Brooklyn,11231,72911,24561.00362,366812.5,0,236.3,0,1878.4,40.679778,-73.991207
360 Court Street,Brooklyn,11231,27165,324.9999905,302871.5,0,89.1,0,Not Available,40.681983,-73.996095
345 Lenox Road,Brooklyn,11226,39232,5527.99994,127065.2,0,66,0,639.6,40.654276,-73.948128
27 Prospect Park West,Brooklyn,11215,59715,32371.28225,178570.1,0,223.4,0,1107.1,40.670728,-73.971752
94-25 57th Ave,Queens,11373,187800,Not Available,711403.5,0,205.2,0,Not Available,40.736318,-73.866997
91-60 193 Street,Hollis,11423,70513,47794.99888,273667.2,0,332.8,0,Not Available,40.711827,-73.766917
527 Lincoln Place,Brooklyn,11238,26776,18509.04428,220193.9,0,161.8,0,1020.3,40.671853,-73.959127
300 West End Avenue,New York,10023,125000,47808.02998,564852.6,0,416.9,0,1992.8,40.781174,-73.98348
414 West 54th Street,New York,10019,27030,14887.08007,174119.2,0,129.3,0,Not Available,40.766282,-73.987838
720 St. Mary's St.,Bronx,10454,49600,29784.73885,190873.6,0,213.3,0,6497,40.808753,-73.910468
519 Lincoln Place,Brooklyn,11238,28440,42225.6346,154957.8,0,269,0,4963.8,40.671891,-73.959318
90-36 149 Street,Jamaica,11435,110538,68833.9971,674208.2,0,560.1,0,7437.1,40.702613,-73.805864
505 Lincoln Place,Brooklyn,11238,25556,Not Available,146017.2,0,42.1,0,Not Available,40.67196,-73.959646
89-21 153rd Street,Queens,11432,41396,28588.99797,158996.3,0,197.7,0,4421.4,40.704964,-73.803437
495 Lincoln Place,Brooklyn,11238,25556,48211.99787,133779.5,0,294.7,0,5841.6,40.672009,-73.959884
127-92 Willets Point Boulevard,Corona,11368,72065,2163.000257,1330272.5,0,395.2,0,400.5,40.760943,-73.840626
127-92 Garage Willets Point Boulevard,Corona,11368,2000,Not Available,664302.5,0,191.6,0,Not Available,,
129-02 Northern Blvd,Corona,11368,72065,684.0000586,473223.2,0,140.1,0,Not Available,40.761766,-73.839869
127-90 Willets Point Boulevard,Corona,11368,19000,1479.000199,192746.8,0,63.5,0,Not Available,40.7609,-73.840644
493 Lincoln Place,Brooklyn,11238,26640,Not Available,136647.6,0,39.4,0,Not Available,40.67202,-73.959931
487 Lincoln Place,Brooklyn,11238,26952,41406.27779,136682.3,0,259.4,0,5954.3,40.672051,-73.960072
88-15 144th Street,Queens,11435,37608,25355.00108,153615.6,0,179,0,2606.3,40.703823,-73.811721
285 Schenectady Ave,Brooklyn,11213,36000,Not Available,132730.2,0,38.3,0,2885.8,40.668289,-73.93394
75 Ocean Ave,Brooklyn,11225,80000,44765.00364,296102.2,0,323.2,0,5473.5,40.661177,-73.962911
201 WEST 75 STREET,New York,10023,53719,34821.40689,549998.5,0,343.6,0,Not Available,40.78063,-73.980354
136-18 39th Ave,Flushing,11354,90950,8204.36345,1542271.8,0,488.5,0,2101.6,40.76033,-73.829831
213 West 23rd St,NEW YORK,10011,70260,24892.11524,736614.1,0,344.7,0,2311.5,40.744388,-73.996308
1339 York Ave,New York,10021,120799,11087.87218,3237112.9,0,3211.5,0,13102.9,40.766515,-73.954008
142 East 33rd Street,New York,10016,28251,513.8048054,217718.4,0,214.1,0,1813.1,40.74561,-73.979934
2408-12 Amsterdam Ave,New York,10033,34240,1232.067748,349620.6,0,107.4,0,1773,40.847122,-73.931633
493 Fulton St,Brooklyn,11201,30056,7459.000136,161832.2,0,86.3,0,49.7,40.690754,-73.985558
85-28 118th St,Jamaica,11415,41302,Not Available,206248.1,0,59.5,0,2638.8,40.701972,-73.832771
285 W Broadway,New Yok,10013,31785,17739.40563,310447.8,0,183.8,0,Not Available,40.721054,-74.004859
85-25 61st Rd,Queens,11374,49135,26808.99986,58915.1,0,222.1,0,Not Available,40.727546,-73.872351
92-70 220th St,Queens,11428,74842,31332.99913,141971.9,0,207.4,0,351.6,40.723496,-73.736733
2241 New Haven Avenue,Queens,11691,52452,56070.98007,680069.9,0,494,0,26122,40.601122,-73.756561
1321 Oak Point Ave,Bronx,10474,28098,5344.627816,38409.4,0,39.5,0,342.9,40.8105,-73.884322
131 Beach 119th St,Queens,11694,37620,1276.909991,133387.7,0,45.3,0,1909.4,40.577727,-73.839054
545 Prospect Pl,Brooklyn,11238,184896,Not Available,1329017.1,0,383.4,0,Not Available,40.6755,-73.958501
601 Wortman Ave,Brooklyn,11208,45475,Not Available,480636.7,0,138.6,0,188.2,40.662572,-73.871891
14-47 143rd St,Queens,11357,41870,1374.113684,127890.9,0,51.5,0,482.9,40.785762,-73.826151
301-303 West 125th Street,New York,10027,74000,1736.198583,1455237.5,0,429,0,1156.5,40.81027,-73.951377
814 AMSTERDAM AVENUE,NEW YORK,10025,56047,5094.724845,141407.7,0,67.9,0,Not Available,40.796448,-73.968633
308 East 38 Street,New York,10016,101666,38060.11393,770052.7,0,424.3,0,4959.7,40.747036,-73.973445
155 WEST 21 STREET,NEW YORK,10011,137134,37534.46258,808668.7,0,432.6,0,Not Available,40.742269,-73.995255
552 Prospect Place,Brooklyn,11238,36587,994.9999616,157120.1,0,50.6,0,Not Available,40.675462,-73.958393
1725-1739 Stillwell Avenue,Brooklyn,11223,29895,Not Available,57884,0,16.7,0,1346.5,40.604499,-73.986722
89-11 153 Street,Jamaica,11432,93480,63008.0014,392345.4,0,447.8,0,Not Available,40.70503,-73.803466
97 Boerum Place,Brooklyn,11201,48720,Not Available,747142.7,0,215.5,0,534.4,40.688655,-73.991025
2211-25 Church Ave,Brooklyn,11226,32000,Not Available,593185.1,0,171.1,0,Not Available,40.650424,-73.958175
88-15 168 Street,Jamaica,11432,128961,96366.00232,591637.2,0,682.5,0,Not Available,40.709153,-73.794231
88-09 148 Street,Jamaica,11435,62652,52230.9999,259068.7,0,352.2,0,5545.3,40.704964,-73.807953
88-06 Parsons Boulevard,Jamaica,11432,55500,48377.00055,206526.5,0,316.5,0,Not Available,40.706554,-73.802127
2044 Webster Avenue,Bronx,10457,65000,39422.46772,3691842.3,0,1274.3,0,Not Available,40.851171,-73.898837
88-05 Merrick Boulevard,Jamaica,11432,71826,51520.99877,242228.6,0,343.5,0,5165.6,40.708632,-73.79579
130-35 Merrick Blvd,Queens,11434,34273,15591.00027,1878698.4,0,624.7,0,1978.2,40.680148,-73.76247
1150 Metropolitan Ave,Brooklyn,11237,83600,686.0000069,5676.9,0,5.3,0,Not Available,40.71443,-73.930474
60 West 55th Street,New York,10018,15550,34653.96485,671049.8,0,523.3,0,7072.9,40.76244,-73.976767
88-25 148 Street,Jamaica,11435,88900,61045.99975,365272.9,0,429.6,0,6836.4,40.704848,-73.807899
88-18 150 Street,Queens,11435,27768,24690.00109,96686.3,0,159,0,2792.4,40.705402,-73.806011
22-10 79th St,Jackson Hgts,11370,128242,85171.00082,496828.1,0,595.7,0,7625.6,40.768327,-73.890544
22-10 80th St,Jackson Hgts,11370,128243,94903.99681,583874.7,0,672.5,0,Not Available,40.768439,-73.889619
22-10 79th Street & 22-10 80th Street,Queens,11370,256485,179394.9977,512565.3,0,1100.7,0,Not Available,40.768327,-73.890544
88-05 171 st Street,Queens,11432,63460,35558.99934,306286.9,0,277.2,0,Not Available,40.710079,-73.790206
87-87 171 Street,Jamaica,11432,62676,39370.99984,216271.1,0,271.5,0,5203.4,40.710574,-73.790497
2825 Claflin Avenue,Bronx,10468,92400,4113.812458,365693.7,0,389.6,0,10582.3,40.872515,-73.899936
87-84 165 Street,Jamaica,11432,59470,43532.00005,157647.8,0,276.7,0,4074.5,40.70895,-73.797124
120 West 116th Street,Manhattan,10026,43578,49014.74285,335837.1,0,357.2,0,Not Available,40.802431,-73.950675
3065 Grand Concourse,Bronx,10468,63440,49036.22476,226537.2,0,325.8,0,3714.8,40.874344,-73.886667
87-50 167 Street,Jamaica,11432,123914,104950.0014,1208826.4,0,906.1,0,8553.2,40.710592,-73.796044
51-25 Van Kleeck Street,Queens,11373,65000,54555.00314,293877,0,374.5,0,Not Available,40.736428,-73.882257
195-24/30 Jamaica Ave,Queens,11423,27849,Not Available,190765.3,0,55,0,3714.8,,
191-11 Woodhull Ave,Queens,11423,34340,21937.00137,98902.5,0,145,0,1534.6,40.710683,-73.767581
58 GERRY STREET,BROOKLYN,11206,69224,Not Available,438375.6,0,126.5,0,Not Available,40.701335,-73.947626
187-35 Hillside Avenue,Jamaica,11432,63936,47608.0002,396010.1,0,367.1,0,5029.9,40.71488,-73.774575
1001 Stanley Ave,Brooklyn,11208,35845,10417.99984,104610.9,0,85.5,0,67.7,40.664189,-73.872692
153 FATHER ZEISER PLACE,BRONX,10468,138000,101958.3951,618134.8,0,719.9,0,9761.4,40.863558,-73.906096
2315 CRESTON AVE,BRONX,10468,39336,38941.00489,196349,0,263.5,0,4298.3,40.85832,-73.900619
55 EVELYN PLACE,BRONX,10468,43099,47794.90315,186764.5,0,307.7,0,0,40.859798,-73.90575
1135 HOE AVENUE,BRONX,10459,25254,19608.34599,94128.1,0,131.3,0,3248.9,40.827139,-73.890913
135-145 West Kingsbridge Road,Bronx,10468,79000,46466.60805,686112,0,444.7,0,1902.3,40.869048,-73.902982
166-33 89 Avenue,Jamaica,11432,99344,73910.00258,583284.7,0,560.8,0,Not Available,40.708153,-73.795179
164-03 89th Avenue,Queens,11432,42880,29850.00131,247930.5,0,230.1,0,2712.1,40.707478,-73.797017
201 East 62nd Street,New York,10065,160500,447.3683477,1011338.6,0,695.2,0,1255.1,40.763296,-73.964869
207 East 57th Street,New York,10022,115170,4098.290196,1359055.6,0,735.3,0,12277.1,40.760042,-73.967011
230 Ashland Place,Brooklyn,11217,125646,222906.0016,1104146.7,0,1502.5,0,Not Available,40.688425,-73.978437
3935 Blackstone Avenue,Bronx,10471,153600,94492.41035,594564.5,0,673.4,0,5060.6,40.890109,-73.911425
305 East 40th Street,New York,10016,362616,245065.1803,2814828.6,0,2113.6,0,14415,40.748469,-73.972954
505 Court Street,Brooklyn,11231,148800,108887,895248.4,0,836.6,0,4703.5,40.675574,-73.999156
