Address 1,City,Postal Code,Largest Property Use Type - Gross Floor Area (ft²),Natural Gas Use (therms),Electricity Use - Grid Purchase (kWh),Green Power - Offsite (kWh),Net Emissions (Metric Tons CO2e),Avoided Emissions - Onsite and Offsite Green Power (Metric Tons CO2e),Water Use (All Water Sources) (kgal),Latitude,Longitude
855 6th Ave,New York,10036,386733,153333.2981,6720752.7,0,2506.4,0,10579.3,40.747431,-73.989519
625 West 57th,New York,10019,896998,291409.5143,6775985.7,0,3253.7,0,Not Available,,
27-02 1 Street,Queens,11102,46100,0,121893.2,0,30.7,0,Not Available,40.775542,-73.936191
825 Third Ave,New York,10022,544000,19084.06645,4268723,0,1176.1,0,Not Available,40.755733,-73.970171
220 Front St,New York,10038,29348,3949.534947,441870.2,0,132.2,0,Not Available,40.707427,-74.002352
213 Front St,New York,10038,36916,13320.34221,545578.9,0,208.1,0,3477.7,40.70732,-74.002521
10 Halletts Point,Queens,11102,534486,121106.9594,3900167.8,0,1625.2,0,10758,40.776327,-73.935764
"590 Gates Ave, 600 Gates Ave, 620 Gates Ave",Brooklyn,11221,124978,123018.9113,960066.6,0,895.1,0,Not Available,40.687279,-73.941287
280 East Burnside Avenue,Bronx,10457,42917,1870.55972,368429.3,0,102.7,0,1921.3,40.851217,-73.90201
2247 Walton Avenue,Bronx,10453,49070,1973.817559,287369.7,0,82.8,0,Not Available,40.857477,-73.90335
2238 Creston Avenue,Bronx,10453,41481,42879.10587,194662.9,0,276.8,0,3784.4,40.856715,-73.901558
1817 West Farms Road,Bronx,10460,40840,48080.26941,560335.7,0,396.4,0,2580,40.836756,-73.882148
282 East Burnside Avenue,Bronx,10457,42917,Not Available,300000,0,75.5,0,Not Available,40.85119,-73.901971
510 Ocean Avenue,Brooklyn,11226,30010,29766.00002,299904.7,0,233.6,0,3008.5,40.650425,-73.96109
540 Ocean Avenue,Brooklyn,11226,46442,39597.00041,178204.5,0,255.2,0,Not Available,40.649563,-73.960921
